datetime,allocatie_gendemand,da_forecast_gendemand,h2qt_forecast_demand,h2qt_allocation_demand
2014-06-01 00:00:00+02:00,-1486107,-1507343,-71072,-71493
2014-06-01 00:15:00+02:00,-1434081,-1456484,-20213,-19467
2014-06-01 00:30:00+02:00,-1388398,-1411658,24613,26216
2014-06-01 00:45:00+02:00,-1349871,-1369600,66671,64743
2014-06-01 01:00:00+02:00,-1320514,-1324210,-44890,-44396
2014-06-01 01:15:00+02:00,-1287733,-1291842,-12522,-11615
2014-06-01 01:30:00+02:00,-1259733,-1263678,15642,16385
2014-06-01 01:45:00+02:00,-1236493,-1237553,41767,39625
2014-06-01 02:00:00+02:00,-1217313,-1223513,-27786,-25564
2014-06-01 02:15:00+02:00,-1199278,-1202907,-7180,-7529
2014-06-01 02:30:00+02:00,-1181893,-1185843,9884,9856
2014-06-01 02:45:00+02:00,-1168514,-1170646,25081,23235
2014-06-01 03:00:00+02:00,-1157661,-1170545,-19322,-11530
2014-06-01 03:15:00+02:00,-1149210,-1156254,-5031,-3079
2014-06-01 03:30:00+02:00,-1142377,-1144073,7150,3754
2014-06-01 03:45:00+02:00,-1135279,-1134020,17203,10852
2014-06-01 04:00:00+02:00,-1130595,-1114238,-7468,-7021
2014-06-01 04:15:00+02:00,-1125787,-1109109,-2339,-2213
2014-06-01 04:30:00+02:00,-1121669,-1105083,1687,1905
2014-06-01 04:45:00+02:00,-1116246,-1098653,8117,7328
2014-06-01 05:00:00+02:00,-1092308,-1102333,-37195,-36164
2014-06-01 05:15:00+02:00,-1053728,-1068767,-3629,2416
2014-06-01 05:30:00+02:00,-1040520,-1047166,17972,15624
2014-06-01 05:45:00+02:00,-1038021,-1042289,22849,18123
2014-06-01 06:00:00+02:00,-1037379,-1034705,4881,5922
2014-06-01 06:15:00+02:00,-1038330,-1035275,4311,4971
2014-06-01 06:30:00+02:00,-1045890,-1040607,-1021,-2589
2014-06-01 06:45:00+02:00,-1051606,-1047759,-8173,-8305
2014-06-01 07:00:00+02:00,-1063895,-1080296,49131,40205
2014-06-01 07:15:00+02:00,-1084377,-1106143,23284,19723
2014-06-01 07:30:00+02:00,-1115151,-1145037,-15610,-11051
2014-06-01 07:45:00+02:00,-1152979,-1186234,-56807,-48879
2014-06-01 08:00:00+02:00,-1196879,-1237202,75833,64829
2014-06-01 08:15:00+02:00,-1238807,-1284968,28067,22901
2014-06-01 08:30:00+02:00,-1282573,-1338998,-25963,-20865
2014-06-01 08:45:00+02:00,-1328576,-1390973,-77938,-66868
2014-06-01 09:00:00+02:00,-1373866,-1441053,52636,61308
2014-06-01 09:15:00+02:00,-1417391,-1479489,14200,17783
2014-06-01 09:30:00+02:00,-1458819,-1514401,-20712,-23645
2014-06-01 09:45:00+02:00,-1490622,-1539816,-46127,-55448
2014-06-01 10:00:00+02:00,-1529027,-1573968,18674,29954
2014-06-01 10:15:00+02:00,-1553362,-1589558,3084,5619
2014-06-01 10:30:00+02:00,-1569825,-1599201,-6559,-10844
2014-06-01 10:45:00+02:00,-1583710,-1607841,-15199,-24729
2014-06-01 11:00:00+02:00,-1595834,-1611318,7875,18276
2014-06-01 11:15:00+02:00,-1607260,-1617382,1811,6850
2014-06-01 11:30:00+02:00,-1619545,-1621055,-1862,-5435
2014-06-01 11:45:00+02:00,-1633802,-1627018,-7825,-19692
2014-06-01 12:00:00+02:00,-1649958,-1652068,-2926,-830
2014-06-01 12:15:00+02:00,-1653158,-1654185,-5043,-4030
2014-06-01 12:30:00+02:00,-1649963,-1649067,75,-835
2014-06-01 12:45:00+02:00,-1643434,-1641250,7892,5694
2014-06-01 13:00:00+02:00,-1640643,-1626132,-19400,-20800
2014-06-01 13:15:00+02:00,-1628311,-1614595,-7863,-8468
2014-06-01 13:30:00+02:00,-1613292,-1601358,5374,6551
2014-06-01 13:45:00+02:00,-1597127,-1584845,21887,22716
2014-06-01 14:00:00+02:00,-1583858,-1587561,-19825,-18843
2014-06-01 14:15:00+02:00,-1571533,-1572238,-4502,-6518
2014-06-01 14:30:00+02:00,-1556635,-1560526,7210,8380
2014-06-01 14:45:00+02:00,-1548034,-1550621,17115,16981
2014-06-01 15:00:00+02:00,-1536208,-1531405,-5266,-11256
2014-06-01 15:15:00+02:00,-1528727,-1525395,744,-3775
2014-06-01 15:30:00+02:00,-1517828,-1522123,4016,7124
2014-06-01 15:45:00+02:00,-1517046,-1525633,506,7906
2014-06-01 16:00:00+02:00,-1517575,-1540768,30833,24327
2014-06-01 16:15:00+02:00,-1524943,-1554117,17484,16959
2014-06-01 16:30:00+02:00,-1545802,-1578813,-7212,-3900
2014-06-01 16:45:00+02:00,-1579290,-1612708,-41107,-37388
2014-06-01 17:00:00+02:00,-1611677,-1625805,61850,60732
2014-06-01 17:15:00+02:00,-1650594,-1667067,20588,21815
2014-06-01 17:30:00+02:00,-1696342,-1713274,-25619,-23933
2014-06-01 17:45:00+02:00,-1731026,-1744477,-56822,-58617
2014-06-01 18:00:00+02:00,-1744599,-1738530,14614,-10433
2014-06-01 18:15:00+02:00,-1740920,-1753287,-143,-6754
2014-06-01 18:30:00+02:00,-1727513,-1760448,-7304,6653
2014-06-01 18:45:00+02:00,-1723635,-1760311,-7167,10531
2014-06-01 19:00:00+02:00,-1723106,-1746462,-2113,3635
2014-06-01 19:15:00+02:00,-1723195,-1744247,102,3546
2014-06-01 19:30:00+02:00,-1723946,-1742869,1480,2795
2014-06-01 19:45:00+02:00,-1736720,-1743820,529,-9979
2014-06-01 20:00:00+02:00,-1733884,-1753186,-11564,-26142
2014-06-01 20:15:00+02:00,-1719658,-1748524,-6902,-11916
2014-06-01 20:30:00+02:00,-1693810,-1737170,4452,13932
2014-06-01 20:45:00+02:00,-1683619,-1727610,14012,24123
2014-06-01 21:00:00+02:00,-1656477,-1674012,11585,3119
2014-06-01 21:15:00+02:00,-1658644,-1672397,13200,952
2014-06-01 21:30:00+02:00,-1651714,-1679881,5716,7882
2014-06-01 21:45:00+02:00,-1671550,-1716098,-30501,-11954
2014-06-01 22:00:00+02:00,-1704424,-1761194,-22790,21716
2014-06-01 22:15:00+02:00,-1753604,-1760078,-21674,-27464
2014-06-01 22:30:00+02:00,-1738205,-1734052,4352,-12065
2014-06-01 22:45:00+02:00,-1708329,-1698292,40112,17811
2014-06-01 23:00:00+02:00,-1663145,-1675627,-89439,-95996
2014-06-01 23:15:00+02:00,-1599601,-1617451,-31263,-32452
2014-06-01 23:30:00+02:00,-1535464,-1558102,28086,31685
2014-06-01 23:45:00+02:00,-1470386,-1493574,92614,96763
2014-06-02 00:00:00+02:00,-1438111,-1426174,-69664,-71972
2014-06-02 00:15:00+02:00,-1389782,-1375221,-18711,-23643
2014-06-02 00:30:00+02:00,-1340275,-1331746,24764,25864
2014-06-02 00:45:00+02:00,-1296388,-1292900,63610,69751
2014-06-02 01:00:00+02:00,-1269346,-1254754,-35913,-33188
2014-06-02 01:15:00+02:00,-1244333,-1228271,-9430,-8175
2014-06-02 01:30:00+02:00,-1224515,-1203552,15289,11643
2014-06-02 01:45:00+02:00,-1206440,-1188788,30053,29718
2014-06-02 02:00:00+02:00,-1192298,-1186137,-16710,-16375
2014-06-02 02:15:00+02:00,-1179915,-1174444,-5017,-3992
2014-06-02 02:30:00+02:00,-1170238,-1163194,6233,5685
2014-06-02 02:45:00+02:00,-1161241,-1153934,15493,14682
2014-06-02 03:00:00+02:00,-1158982,-1148675,-6375,-7621
2014-06-02 03:15:00+02:00,-1152999,-1142912,-612,-1638
2014-06-02 03:30:00+02:00,-1146686,-1140189,2111,4675
2014-06-02 03:45:00+02:00,-1146780,-1137427,4873,4581
2014-06-02 04:00:00+02:00,-1147781,-1143673,4650,3780
2014-06-02 04:15:00+02:00,-1149321,-1146845,1478,2240
2014-06-02 04:30:00+02:00,-1153313,-1150827,-2504,-1752
2014-06-02 04:45:00+02:00,-1155829,-1151948,-3625,-4268
2014-06-02 05:00:00+02:00,-1149554,-1155756,9626,4314
2014-06-02 05:15:00+02:00,-1139789,-1149553,15829,14079
2014-06-02 05:30:00+02:00,-1150134,-1166221,-839,3734
2014-06-02 05:45:00+02:00,-1175995,-1190000,-24618,-22127
2014-06-02 06:00:00+02:00,-1228933,-1245106,92001,90284
2014-06-02 06:15:00+02:00,-1279044,-1294745,42362,40173
2014-06-02 06:30:00+02:00,-1347605,-1364049,-26942,-28388
2014-06-02 06:45:00+02:00,-1421288,-1444530,-107423,-102071
2014-06-02 07:00:00+02:00,-1519666,-1556629,141764,141050
2014-06-02 07:15:00+02:00,-1620696,-1650790,47603,40020
2014-06-02 07:30:00+02:00,-1714151,-1751028,-52635,-53435
2014-06-02 07:45:00+02:00,-1788353,-1835128,-136735,-127637
2014-06-02 08:00:00+02:00,-1856453,-1908064,70989,71472
2014-06-02 08:15:00+02:00,-1905785,-1956044,23009,22140
2014-06-02 08:30:00+02:00,-1955061,-2005391,-26338,-27136
2014-06-02 08:45:00+02:00,-1994401,-2046714,-67661,-66476
2014-06-02 09:00:00+02:00,-2035269,-2066117,25655,26210
2014-06-02 09:15:00+02:00,-2059323,-2089509,2263,2156
2014-06-02 09:30:00+02:00,-2074358,-2100856,-9084,-12879
2014-06-02 09:45:00+02:00,-2076967,-2110606,-18834,-15488
2014-06-02 10:00:00+02:00,-2083915,-2107359,810,17676
2014-06-02 10:15:00+02:00,-2091830,-2105413,2756,9761
2014-06-02 10:30:00+02:00,-2111341,-2107594,575,-9750
2014-06-02 10:45:00+02:00,-2119281,-2112312,-4143,-17690
2014-06-02 11:00:00+02:00,-2140093,-2122990,-1961,4933
2014-06-02 11:15:00+02:00,-2141420,-2122878,-1849,3606
